,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,mean_shift_,optics_min_samples_7_xi_0_05_min_cluster_size_0_1,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8,random_model_n9,random_model_n10,random_model_n11,random_model_n12,random_model_n13,random_model_n14,random_model_n15,random_model_n16,random_model_n17,random_model_n18,random_model_n19,random_model_n20,random_model_n21,random_model_n22,random_model_n23,random_model_n24,random_model_n25,random_model_n26,random_model_n27,random_model_n28,random_model_n29,random_model_n30
671,0,1,2,3,3,1,0,5,24,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,0,2,3,1,5,2,0,0,0,0,3,1,2,1,1,2,2,0,1,2,2,3,1,1,1,3,2,3,2,3,1,0,3,1,0,0,1,3,0
672,0,1,2,3,3,1,3,1,13,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,0,2,3,1,5,2,0,0,0,0,0,1,3,1,0,1,3,1,3,3,3,3,3,2,3,3,0,1,0,2,3,0,1,0,1,2,2,2,3
673,0,1,2,3,3,1,0,5,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,2,3,2,1,1,1,0,0,2,0,1,0,2,1,0,1,2,3,2,0,1,0,1,1,2,3,3,1,0,0,0,0,0,1,3,3,2,2
674,0,0,1,0,4,0,2,3,28,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,1,2,3,3,4,4,0,0,3,1,3,0,0,1,1,1,3,1,0,1,2,3,2,2,1,0,2,1,0,0,0,3,0,3,1,1,2,0
675,0,0,1,0,4,0,2,3,120,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,1,2,3,3,4,4,0,0,1,0,1,0,0,3,1,2,3,1,2,0,0,3,2,0,0,1,3,0,0,0,3,0,2,2,2,1,0,3
676,0,0,0,1,2,5,1,0,11,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,0,1,4,0,3,5,0,0,3,2,2,1,1,1,1,3,2,1,2,3,3,1,1,3,3,1,1,3,1,1,1,2,0,2,3,3,2,1
677,0,0,0,1,2,5,1,0,105,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,0,1,4,0,3,5,0,0,1,3,0,2,1,2,0,0,2,2,0,0,2,3,3,3,1,3,0,3,1,3,1,3,0,2,0,0,1,2
678,0,0,1,0,4,0,2,3,31,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,1,2,3,3,5,6,0,0,1,0,3,1,3,3,1,3,2,2,0,3,1,2,3,2,1,1,0,1,2,1,0,2,1,0,1,3,3,2
679,0,0,0,1,2,5,1,0,100,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,0,1,4,0,3,5,0,0,0,3,1,1,2,0,1,2,2,0,0,3,3,3,0,2,0,3,1,3,2,2,1,1,2,0,0,3,0,3
680,0,0,1,0,0,3,5,4,46,0,0,0,0,0,0,0,0,0,1,1,2,2,1,2,4,0,1,1,2,3,4,6,7,0,0,3,2,2,1,1,1,2,2,2,2,1,2,1,1,3,1,0,1,1,0,1,3,0,0,2,0,1,3,1,2
681,0,0,1,0,0,3,5,4,-1,0,0,0,0,0,0,0,0,0,1,1,2,1,1,3,4,0,1,1,2,3,3,4,7,0,0,0,3,2,2,2,3,2,2,2,0,3,0,2,0,1,1,2,1,1,1,1,3,0,2,2,0,2,3,2,0
682,0,0,0,1,2,5,1,0,11,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,0,1,4,0,3,5,0,0,3,0,2,2,2,0,1,0,3,1,2,2,3,2,1,2,2,0,2,0,1,3,3,2,1,0,1,2,2,2
683,0,0,1,0,4,0,2,3,28,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,1,2,3,3,4,4,0,0,2,2,2,2,1,0,2,2,3,2,3,3,1,3,0,3,3,2,3,1,3,2,0,1,1,1,2,1,0,2
684,0,1,2,3,3,1,0,5,113,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,2,3,2,1,1,1,0,0,2,1,1,0,2,1,3,0,0,0,2,1,3,1,1,2,3,1,1,3,3,2,0,1,1,0,3,1,0,1
685,0,1,0,2,1,2,6,2,15,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,2,0,0,2,0,3,0,0,2,0,1,0,2,2,0,3,1,2,2,0,0,0,0,1,1,1,3,1,1,0,1,1,3,3,2,2,1,0
686,0,1,0,2,1,4,4,7,32,0,0,0,0,0,0,0,0,0,0,2,0,4,2,1,2,0,0,2,0,0,2,0,2,0,0,2,3,0,2,1,3,1,3,3,0,0,1,3,2,2,1,1,0,1,0,0,2,1,0,1,2,2,0,2,2
687,0,0,1,0,4,0,2,3,10,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,1,2,3,3,4,4,0,0,2,0,0,3,0,0,1,3,1,2,3,1,0,0,0,2,0,0,2,3,0,1,1,2,3,1,2,3,2,2
688,0,0,1,1,2,4,1,6,29,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,7,0,1,0,1,4,4,5,6,0,0,2,2,0,3,2,3,2,1,2,2,3,2,2,2,2,1,3,1,1,3,1,0,0,0,1,2,3,1,2,0
689,0,0,1,0,0,3,5,4,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,2,4,0,1,1,3,2,1,6,7,0,0,2,1,1,3,2,2,0,2,0,0,0,0,0,3,3,2,0,0,2,2,0,3,2,3,1,1,3,3,2,3
690,0,0,1,0,0,3,5,4,108,0,0,0,0,0,0,0,0,0,0,1,2,2,1,2,4,0,1,1,3,2,4,6,7,0,0,2,1,3,1,2,3,1,3,3,3,1,0,0,0,3,1,1,1,3,3,3,2,3,0,3,1,2,3,3,1
691,0,0,1,0,4,0,2,6,19,0,0,0,0,0,0,0,0,0,1,1,2,1,0,5,7,0,1,1,2,3,4,5,6,0,0,0,1,1,3,2,2,2,0,1,2,1,3,2,2,1,2,2,1,2,0,0,3,2,0,1,3,1,3,3,1
692,0,1,0,2,1,4,4,7,14,0,0,0,0,0,0,0,0,0,1,2,0,4,4,1,2,0,0,0,1,0,2,0,2,0,0,2,0,0,0,2,0,0,1,1,2,2,3,2,3,0,0,0,1,0,3,0,1,1,2,3,3,2,3,1,2
693,0,1,0,2,1,2,6,2,26,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,2,0,0,2,0,3,0,0,1,1,3,0,2,2,3,0,0,0,0,2,1,1,1,3,2,0,0,1,1,3,2,0,0,1,0,2,1,2
694,0,0,1,0,0,3,5,4,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,2,4,0,1,1,2,2,1,6,7,0,0,2,1,2,3,2,2,2,1,1,3,2,2,3,2,1,2,1,3,3,1,0,3,0,3,1,3,1,2,2,1
695,0,1,0,2,1,4,4,7,4,0,0,0,0,0,0,0,0,0,0,2,0,4,0,1,2,0,0,2,0,0,4,5,2,0,0,1,2,1,0,1,1,2,1,3,2,2,0,2,3,2,2,2,2,3,3,1,1,3,1,1,3,3,0,2,0
696,0,1,0,2,1,2,6,2,26,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,2,0,0,2,0,3,0,0,2,2,1,2,3,0,2,1,3,3,3,0,2,0,0,1,0,0,2,1,3,1,2,0,0,3,0,3,0,0
697,0,1,2,3,3,1,0,5,86,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,2,3,2,1,1,1,0,0,2,3,0,1,3,3,1,3,2,0,0,3,0,1,2,2,1,2,3,2,2,1,0,1,0,1,2,2,3,2
698,0,1,0,2,1,2,6,2,61,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,2,0,0,2,0,3,0,0,3,2,1,1,0,3,3,3,3,2,3,2,2,2,2,1,2,2,1,1,1,0,0,3,3,1,2,1,3,0
699,0,0,1,0,0,3,5,4,47,0,0,0,0,0,0,0,0,0,1,1,2,1,1,3,4,0,1,1,2,3,3,6,7,0,0,1,2,2,1,0,3,1,1,0,0,3,3,2,2,1,1,1,1,0,3,0,2,3,0,1,3,0,1,0,2
700,0,0,1,0,4,0,2,6,19,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,7,0,1,1,2,3,4,5,6,0,0,0,2,3,1,3,3,2,1,0,2,1,1,2,1,1,0,1,0,3,2,0,0,2,0,0,0,0,1,1,0
701,0,1,2,3,0,3,5,4,-1,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,4,0,1,1,3,2,1,6,7,0,0,0,1,2,3,2,3,3,2,3,1,2,3,3,3,1,1,0,1,1,3,2,3,3,1,0,0,1,3,1,3
702,0,0,1,0,4,0,2,3,10,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,1,2,3,3,4,4,0,0,1,0,2,3,3,3,0,0,2,1,0,3,2,1,2,1,3,3,0,3,2,0,1,0,1,2,0,3,0,2
703,0,0,1,1,2,5,1,0,6,0,0,0,0,0,0,0,0,0,1,1,1,0,4,6,5,0,0,0,1,4,0,3,5,0,0,1,0,1,3,2,1,0,1,2,0,0,1,1,2,0,1,2,1,1,1,0,0,0,1,3,2,1,3,3,2
704,0,1,0,2,1,2,6,2,17,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,2,0,0,2,0,2,0,0,3,1,1,3,1,2,0,0,3,3,3,3,1,1,3,2,1,0,0,1,1,0,3,0,2,1,3,2,1,2
705,0,1,0,2,1,4,4,7,104,0,0,0,0,0,0,0,0,0,1,2,0,4,4,1,2,0,0,0,1,0,2,0,2,0,0,2,0,1,0,3,0,3,0,2,2,0,1,0,3,3,2,1,0,3,1,1,1,2,3,2,2,1,2,0,0
706,0,0,1,0,4,0,2,3,123,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,1,2,3,3,4,4,0,0,1,2,2,2,3,1,0,1,0,1,3,0,2,3,2,3,0,0,3,1,1,3,1,0,0,0,3,3,3,3
707,0,0,1,0,4,3,5,3,68,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,1,2,3,3,4,4,0,0,1,1,3,3,0,3,2,3,0,1,2,1,0,2,1,0,2,3,3,3,1,3,0,0,3,2,0,1,0,2
708,0,0,1,0,0,3,5,6,29,0,0,0,0,0,0,0,0,0,1,1,2,2,0,5,7,0,1,1,2,3,4,5,6,0,0,2,2,0,3,0,1,1,2,2,1,0,1,3,0,1,1,3,3,3,3,1,1,3,0,0,0,2,1,3,2
709,0,1,2,3,3,1,0,5,59,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,2,3,2,1,1,1,0,0,1,2,3,0,0,3,2,2,3,0,0,0,1,3,2,0,2,2,2,1,2,2,2,1,3,3,2,1,2,0
710,0,0,1,1,2,5,1,0,6,0,0,0,0,0,0,0,0,0,1,1,1,0,4,6,5,0,0,0,1,4,0,3,5,0,0,3,1,3,2,3,1,1,2,0,3,0,1,2,1,0,0,3,3,3,1,0,2,0,2,0,1,3,1,1,3
711,0,0,1,0,4,0,2,3,10,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,1,2,3,3,4,4,0,0,3,1,0,1,0,1,2,3,1,2,3,3,2,0,2,3,2,3,3,3,1,3,1,1,2,2,3,2,1,2
712,0,0,1,1,2,5,1,6,84,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,7,0,1,0,1,4,4,5,6,0,0,1,3,2,0,1,3,2,3,0,3,3,1,3,3,1,0,1,3,1,1,2,2,3,0,1,3,1,3,2,3
713,0,0,0,1,2,4,4,7,33,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,2,0,0,0,1,4,4,5,2,0,0,2,1,1,2,0,0,2,0,3,1,0,1,2,2,0,2,1,3,0,2,1,0,2,1,1,1,1,2,1,2
714,0,0,0,1,2,5,1,0,75,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,0,1,4,0,3,5,0,0,3,2,1,1,0,1,2,2,3,0,2,1,3,2,0,0,0,2,0,0,2,1,3,1,0,2,1,0,3,1
715,0,1,2,3,0,3,5,4,43,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,4,0,1,1,3,2,1,6,7,0,0,2,2,2,1,3,2,3,3,3,3,0,0,1,2,2,3,1,0,0,3,0,0,1,2,3,2,3,3,0,1
716,0,1,0,2,1,2,6,2,20,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,2,0,0,2,0,3,0,0,1,2,0,2,2,2,0,2,2,0,2,0,1,0,0,3,1,0,2,3,2,0,2,0,1,1,2,0,0,1
717,0,0,1,1,2,5,1,6,66,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,7,0,1,0,1,3,4,5,6,0,0,3,0,0,0,2,1,1,2,3,2,3,1,2,3,3,1,3,3,2,2,3,0,1,3,3,3,3,3,1,1
718,0,0,0,1,2,4,4,7,33,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,2,0,0,0,1,4,4,5,2,0,0,3,2,0,1,0,2,0,0,2,2,0,0,0,3,2,1,3,1,2,3,2,1,1,0,2,3,2,1,0,2
719,0,0,1,0,0,3,5,6,-1,0,0,0,0,0,0,0,0,0,1,1,2,2,1,5,4,0,1,1,2,3,4,6,7,0,0,3,1,3,3,1,3,1,2,0,3,0,2,0,3,2,0,1,2,0,2,3,0,0,0,2,3,0,1,0,0
720,0,1,0,2,1,2,6,2,103,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,2,0,0,2,0,3,0,0,2,2,0,1,0,1,2,1,1,2,1,2,1,0,2,3,3,1,3,1,0,1,0,2,3,1,1,3,2,3
721,0,0,0,1,2,5,1,0,75,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,0,1,4,0,3,5,0,0,1,2,3,0,1,1,3,2,1,3,2,2,0,2,3,1,1,0,0,0,1,3,1,3,0,0,3,1,3,0
722,0,1,2,3,3,1,0,5,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,2,3,2,1,1,1,0,0,3,1,0,0,3,1,2,3,2,1,1,3,1,1,0,0,0,2,0,2,3,1,3,1,1,1,1,2,1,2
723,0,0,0,1,2,4,4,6,33,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,7,0,0,0,1,4,4,5,2,0,0,3,2,2,3,3,1,0,0,3,1,2,0,3,2,3,1,1,3,2,2,3,2,0,3,3,2,3,0,2,0
724,0,1,0,1,2,4,4,7,-1,0,0,0,0,0,0,0,0,0,1,2,1,0,4,1,2,0,0,0,1,0,2,0,2,0,0,0,2,2,1,3,3,3,0,3,1,1,3,2,3,1,3,0,0,2,2,1,2,1,3,0,3,2,0,3,1
725,0,1,2,3,3,1,0,5,24,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,0,2,3,1,5,2,0,0,0,0,1,1,3,0,2,3,1,2,1,3,2,1,2,0,0,0,2,0,0,1,0,1,1,0,3,3,2,3,1
726,0,0,0,1,2,5,1,0,105,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,0,1,4,0,3,5,0,0,1,0,2,0,2,2,0,1,0,0,3,3,3,1,2,0,1,2,0,3,3,3,2,2,1,1,2,0,3,1
727,0,0,0,1,2,5,1,0,3,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,0,1,4,0,3,5,0,0,0,1,0,0,1,3,0,2,2,2,3,0,0,3,2,1,2,0,2,0,1,0,0,1,2,1,3,3,1,2
728,0,0,1,0,4,0,2,3,0,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,1,2,3,3,4,4,0,0,1,3,2,0,2,2,3,2,3,1,1,1,0,1,2,2,2,0,0,0,2,1,2,3,2,3,2,1,1,2
729,0,1,0,2,1,2,6,2,20,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,2,0,0,2,0,3,0,0,1,2,0,2,3,0,1,3,3,3,1,2,2,1,2,1,1,3,3,2,1,3,0,0,0,1,1,2,3,1
730,0,1,2,3,3,1,3,1,7,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,0,2,3,1,5,2,0,0,0,2,2,3,3,3,0,3,0,3,3,1,3,0,3,3,0,2,1,0,1,0,1,0,0,3,3,2,3,2,2
731,0,0,0,1,2,5,1,0,22,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,0,1,4,0,3,5,0,0,2,3,0,3,2,2,1,1,0,3,2,1,3,0,0,0,0,0,3,2,1,2,2,3,0,3,1,0,3,1
732,0,1,0,2,1,2,6,2,-1,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,2,0,0,2,0,3,0,0,3,2,0,1,2,2,1,2,3,2,0,0,1,1,1,0,2,3,0,1,1,1,1,0,2,0,2,3,1,0
733,0,0,1,0,4,0,2,3,74,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,1,2,3,3,4,4,0,0,2,1,3,3,3,3,0,1,3,3,3,1,2,3,1,3,3,3,1,2,0,0,1,2,1,2,1,1,0,1
734,0,0,1,1,2,4,1,6,42,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,7,0,1,0,1,4,4,5,6,0,0,0,0,3,1,2,1,1,1,0,0,1,2,3,1,0,2,3,3,1,3,0,3,1,1,1,1,0,1,2,2
735,0,1,2,3,3,1,3,1,7,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,0,2,3,1,5,2,0,0,0,0,3,0,3,0,2,0,0,3,2,2,2,0,1,0,0,3,1,0,3,1,1,2,0,0,3,1,3,0,0
736,0,1,0,2,1,2,6,2,4,0,0,0,0,0,0,0,0,0,0,2,0,4,2,1,2,0,0,2,0,0,2,0,2,0,0,2,2,0,1,3,0,3,0,2,0,3,2,2,2,3,1,1,2,3,0,0,2,2,3,3,3,3,2,1,3
737,0,0,1,0,4,0,2,6,19,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,7,0,1,1,2,3,4,5,6,0,0,0,0,1,3,3,1,2,2,0,2,0,3,2,3,3,2,1,2,3,1,3,2,1,0,0,1,3,1,0,0
738,0,0,1,0,4,0,2,6,95,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,7,0,1,1,2,3,4,5,6,0,0,2,3,1,3,3,2,0,2,0,3,2,1,3,1,2,2,3,3,2,3,1,3,1,3,0,0,0,1,3,1
739,0,1,2,3,3,1,3,1,7,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,0,2,3,1,5,2,0,0,0,3,2,3,1,0,1,2,2,2,2,1,2,0,1,0,0,1,3,1,2,0,1,1,1,0,2,2,3,2,3
740,0,1,0,2,1,4,4,7,73,0,0,0,0,0,0,0,0,0,0,2,0,4,0,1,2,0,0,2,0,0,2,0,2,0,0,3,1,2,2,2,0,3,0,0,0,3,1,3,1,0,1,1,2,2,0,3,1,0,2,0,0,2,0,2,0
741,0,1,2,2,1,2,6,2,35,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,2,0,1,5,2,3,0,0,1,3,0,2,0,0,2,2,3,0,2,3,0,1,3,0,3,2,3,3,3,2,1,1,0,0,3,3,3,0
742,0,0,0,1,2,4,4,6,82,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,7,0,0,0,1,4,4,5,2,0,0,2,0,3,0,0,1,3,1,2,2,0,3,3,2,1,2,3,0,1,2,2,1,3,1,0,2,3,3,1,0
743,0,1,2,3,3,1,3,1,13,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,0,2,3,1,5,2,0,0,0,0,0,3,3,0,1,1,2,3,1,0,0,2,1,2,0,0,0,2,1,2,3,2,0,3,0,0,0,2,1
744,0,0,1,1,2,5,1,0,6,0,0,0,0,0,0,0,0,0,1,1,1,0,4,6,5,0,0,0,1,4,0,3,5,0,0,1,3,2,0,1,2,0,3,1,1,3,2,0,2,3,2,0,0,0,2,3,0,0,0,1,2,3,0,2,1
745,0,0,0,1,2,5,1,0,-1,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,0,1,4,0,3,5,0,0,0,1,1,3,3,2,0,1,2,0,2,3,2,3,0,1,3,2,0,1,0,0,1,3,0,3,2,1,3,3
746,0,1,0,2,1,4,4,7,4,0,0,0,0,0,0,0,0,0,0,2,0,4,0,1,2,0,0,2,0,0,4,0,2,0,0,3,1,2,3,3,1,3,2,3,0,3,0,1,0,2,0,3,1,2,2,3,1,3,1,2,3,3,1,2,3
747,0,1,2,3,0,3,5,4,124,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,4,0,1,1,3,2,4,6,7,0,0,0,3,3,0,3,2,2,1,3,0,2,2,0,1,1,1,3,0,2,1,3,1,0,0,1,3,3,2,0,0
748,0,1,0,1,2,4,4,7,49,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,2,0,0,0,1,0,4,0,2,0,0,2,1,2,0,2,0,3,0,2,3,2,0,0,1,0,2,3,3,1,1,0,3,0,2,1,1,0,0,0,3
749,0,0,0,1,2,5,1,0,90,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,0,1,4,0,3,5,0,0,1,3,1,2,2,1,1,3,1,1,2,0,2,1,1,0,3,0,3,0,2,0,2,3,0,2,2,0,0,1
750,0,1,0,2,1,4,4,7,4,0,0,0,0,0,0,0,0,0,1,2,0,4,0,1,2,0,0,2,0,0,4,0,2,0,0,3,2,2,2,1,2,3,2,0,3,2,1,2,2,0,0,0,1,3,1,0,1,0,0,1,1,1,2,1,1
751,0,0,1,0,0,3,5,4,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,2,4,0,1,1,2,3,1,6,7,0,0,3,0,3,2,0,1,3,3,3,1,3,1,2,3,1,2,1,0,1,2,3,1,1,2,2,2,1,0,2,1
752,0,0,0,1,2,5,1,0,100,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,0,1,4,0,3,5,0,0,2,2,1,1,3,3,2,1,3,0,2,0,1,2,1,2,1,3,3,3,2,1,1,0,3,2,0,3,0,0
753,0,1,0,2,1,2,6,2,20,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,2,0,0,2,0,3,0,0,3,1,0,3,0,2,2,2,1,3,1,2,3,0,1,0,3,1,3,1,3,0,2,3,1,3,1,3,0,2
754,0,1,2,3,3,1,3,1,7,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,0,2,3,1,5,2,0,0,0,0,3,0,0,2,0,0,1,3,0,0,0,2,0,3,3,0,1,2,3,0,2,1,0,3,2,2,1,0,2
755,0,0,1,1,2,5,1,0,6,0,0,0,0,0,0,0,0,0,1,1,1,0,4,6,5,0,0,0,1,4,0,3,5,0,0,2,2,0,1,3,0,1,1,1,0,3,3,3,2,1,2,3,1,2,0,1,1,2,3,1,0,1,3,3,2
756,0,1,0,2,1,2,6,2,35,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,2,0,0,2,0,3,0,0,0,1,2,0,1,0,1,3,3,1,2,0,2,1,2,0,0,0,3,0,1,0,1,2,0,2,1,2,1,1
757,0,0,0,1,2,4,4,7,33,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,2,0,0,0,1,4,4,5,2,0,0,1,0,1,3,3,2,1,2,2,2,2,1,0,2,0,1,2,0,1,2,3,1,3,3,3,3,2,0,3,3
758,0,1,0,1,2,4,4,7,56,0,0,0,0,0,0,0,0,0,1,2,0,2,0,1,2,0,0,0,1,4,4,5,2,0,0,3,1,1,2,1,0,3,2,0,1,0,1,0,3,1,0,3,0,3,1,3,3,1,3,3,2,2,3,0,0
759,0,1,2,3,3,1,0,5,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,2,3,2,1,1,1,0,0,3,2,0,2,2,1,1,2,0,3,3,1,0,2,1,3,1,0,1,0,1,2,2,2,2,2,1,3,0,0
760,0,1,0,2,1,4,4,7,4,0,0,0,0,0,0,0,0,0,0,2,0,4,0,1,2,0,0,2,0,0,4,0,2,0,0,3,1,3,0,0,1,2,0,0,2,1,1,1,0,1,1,2,1,0,0,2,2,3,3,1,0,1,2,2,3
761,0,1,2,3,3,1,3,1,7,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,0,2,3,1,5,2,0,0,0,0,0,3,3,3,1,2,1,3,2,2,2,3,3,1,0,2,1,0,1,0,3,2,1,1,1,2,3,2,3
762,0,0,0,1,2,5,1,0,3,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,0,1,4,0,3,5,0,0,3,1,0,3,3,3,2,3,2,3,2,1,1,3,3,0,1,2,0,3,3,0,1,2,3,1,2,0,1,0
763,0,1,2,3,0,3,5,4,125,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,4,0,1,1,3,2,4,6,7,0,0,0,2,3,3,0,3,0,0,3,2,3,3,2,0,1,1,2,1,1,2,3,0,1,0,2,1,0,3,3,3
764,0,0,1,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,4,0,1,1,2,3,3,4,4,0,0,3,1,1,0,1,2,1,3,0,1,3,1,2,1,2,0,2,0,2,3,1,3,3,3,3,3,0,0,0,3
765,0,0,0,1,2,4,4,7,-1,0,0,0,0,0,0,0,0,0,1,2,1,0,4,1,2,0,0,0,1,4,2,0,2,0,0,0,1,1,0,1,3,2,3,1,3,0,3,2,2,1,1,0,0,0,1,0,0,3,2,3,1,2,3,2,3
766,0,0,0,1,2,5,1,0,11,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,0,1,4,0,3,5,0,0,0,0,2,3,1,1,1,0,2,0,3,1,0,2,3,3,0,3,3,1,3,0,3,2,1,0,2,0,1,2
767,0,0,1,1,2,5,1,6,-1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,7,0,1,0,1,4,4,5,6,0,0,2,1,1,3,3,3,3,3,2,3,0,0,2,3,2,0,0,1,0,0,1,3,3,3,3,2,0,1,1,1
